original_crop_name,edited_crop_name,deployed
Alfalfa,,True
Almond,,False
Apple,,True
Apple (Non-Bearing),Apple,True
Apples,Apple,True
Asparagus,,False
Avocado,,False
Barley,,False
Bean,Beans,True
"Beans, Dry",Beans,True
"Beans, Snap",Beans,True
Bermudagrass Turf,,False
Blueberries,Blueberry,True
Blueberries And Other Bush Berries,,True
Blueberry,,True
"Blueberry, Highbush",Blueberry,True
"Blueberry, Lowbush",Blueberry,True
Brassica Head And Stem Vegetables (Cabbage),,True
Cabbage,,True
Carrots,,False
Citrus Fruit,,False
Clearfield Corn,Corn,True
Clover,,True
Corn,,True
Corn (Field),Corn,True
Corn (Sweet And Popcorn),Corn,True
Corn – Field Corn,Corn,True
Corn – Sweet Corn,Corn,True
"Corn, Sweet",Corn,True
Cotton,,False
Cucumber,,False
"Cucurbits (Squash, Pumpkin)",,True
Dried Shelled Peas And Beans,Beans,True
Dry Bean,Beans,True
Dry Beans,Beans,True
Dry Bulb Onion,Onion,True
Dry Bulb Onions,Onion,True
Field Corn,Corn,True
Fruiting Vegetables (Tomato),,True
Grape,Grape,True
"Grape, Amur River",Grape,True
Grapes,Grape,True
Greenhouse Tomatoes,Tomatoes,True
High Bush Blueberries,Blueberry,True
High Bush Blueberry,Blueberry,True
Highbush Blueberry,Blueberry,True
Leaf Petiole Vegetables,,True
Low Bush Blueberries,Blueberry,True
Low Bush Blueberry,Blueberry,True
Lowbush Blueberry,Blueberry,True
Oats,,False
Onion,,True
Onion (Dry Bulb),Onion,True
Onion (Green Bunching),Onion,True
"Onion, Bulb",Onion,True
"Onion, Bulb Subgroup 3-07A",,True
"Onion, Dry Bulb",Onion,True
"Onion, Green",Onion,True
Onions,Onion,True
Onions (Dry Bulbs Only),Onion,True
Onions And Other Bulb Vegetables,,True
"Onions, Green",Onion,True
Pear,,False
Peas,,False
Perennial Ryegrass,,False
Popcorn,Corn,True
Potato,,True
Potatoes,Potato,True
Pumpkin,,True
Pumpkins,Pumpkin,True
Rice,,False
Rye,,False
Seed Corn,Corn,True
Snap Bean,Beans,True
Snap Beans,Beans,True
Sorghum,,False
Soybean,Soybean,True
Soybeans,Soybean,True
"Soybeans, Immature Seed",Soybean,True
Spinach,,False
Spring Wheat,Wheat,True
Squash,,True
"Squash, Summer",Squash,True
"Squash, Winter",Squash,True
Squashes,Squash,True
Strawberries,Strawberry,True
Strawberry,,True
Succulent Snap Beans,Beans,True
Sugar Beets,Sugarbeets,False
Sugarbeets,Sugarbeets,False
Sugarcane,,False
Summer Squash,Squash,True
Sweet Corn,Corn,True
Sweet Potatoes,,False
Tall Fescue,,False
Tomato,,True
Tomatoes,Tomato,True
Tree Nuts,,True
Tuberous And Corm Vegetables (Potato),,True
Tuberous And Corm Vegetables (Sweet Potato),,True
Vegetable Soybean (Edamame),Soybean,True
Walnut,,False
Wheat,,True
Winter Squash,Squash,True
Winter Wheat,Wheat,True
